,问题,选项1,选项2,选项3,选项4,答案
249,以下哪句话中“倒是”的意思(或用法)与其他句子不同。,缺乏信心并不是因为出现了困难，而出现困难倒是因为缺乏信心,人生并非充满了玫瑰花，倒是有时路上的荆棘刺痛了你。巴尔扎,天空并非纯黑色，倒是黑中透出一片无垠的深蓝，一直伸向远处，远处。我的视线很想穿透这层黑幕，很想刺探天之尽头是什么,"""四妹说：“看倒是挺好看的,是用白醋焖拌凉菜吧?""",D
250,以下哪句话中“到底”的意思(或用法)与其他句子不同。,"到底是南方,四月就插秧了",我挽起裤脚，脚板还没踏进水，心里就直打颤，不知水下到底有什么东西，要是有水蛇，那我可就倒霉了。我胆怯地把脚伸进水里，身子紧贴着岩石砌成的河埠头，两手抓住岸坎。来到同伴身边，我的心仿佛提到了喉尖上,读书，我们不仅能够掌握一定的专业技能，更重要的是，能够解决自己面临的各种各样的人生问题。人终其一生，无非就是在不断探知自己的人生到底应当有什么样的意义而已,它孤零零地立在那里，我站在远处，实在是辨不出那到底是什么。在许多高大挺拔的树木中间，它太丑了。当我走到它面前时，才猛然地辨认出它。然而我又委实不忍心看它，它实在是太惨了,A
251,以下哪句话中“大道”的意思(或用法)与其他句子不同。,艺术的大道上荆棘丛生，这也是件好事，常人都望而却步，只有意志坚强的人例外,世界是一条龙充满苦恼的大道，而我们是来去匆匆的旅人；死亡是世上每个人的归宿。乔,在荆棘道路上，惟有信念和忍耐能开辟出康庄大道。松下幸之,大道废，有仁义；智慧出，有大伪；六亲不和，有孝慈；国家昏乱，有忠臣。老,D
252,以下哪句话中“道路”的意思(或用法)与其他句子不同。,考研是自己选择的最愿意去走的道路，不管前面会遇到什么，考研的决心一旦作出就要义无反顾、勇往直前,人生就像道路，有坎坷的，也有平坦的；在成长的过程中，不会是一帆风顺的，有时会跌倒，有时不会跌倒，但总要继续前,每天早晨，浓雾淹没了山野河川和道路；草原清净而凉爽的空气，变得就像马群踏过的泉水一样，又混浊又肮脏,在荆棘道路上，惟有信念和忍耐能开辟出康庄大道。松下幸之,A
253,以下哪句话中“高低”的意思(或用法)与其他句子不同。,站在沙山上，俯视下方，连绵不断、高低起伏的沙山下面是郁郁葱葱的树林，林中花团锦簇，点缀着这绿色的“海洋”,不知高低,远处的丘陵高低有致，起伏连绵，在飘渺的云烟中忽远忽近、若即若离,劳动生产率的高低这和一定量劳动所推动的生产资料成正比。马克,B
254,以下哪句话中“古典”的意思(或用法)与其他句子不同。,在万千古木中，松树拔地而起。领略无限风光之时，古典朴素的松树比那些万紫千红，千娇百媚的花儿更吸引人的注意力,"与其附会古典,不如恪守成规",矮矮的房屋也是一种艺术品，古典、优雅，像一幅浓郁的油漆彩画,“园中有城”，山、水、城、林、园、镇为一体，古典与现代完美结合、古韵今风、和谐发展的国际化大都市,B
255,以下哪句话中“点子”的意思(或用法)与其他句子不同。,不管是金点子，还是银点子，得不到落实都是空点子,三流的点子加一流的执行力，永远比一流的点子加三流的执行力更好,雨点子,这个既有心机又狡猾得像泥鳅一样的小家伙，肚里鬼点子多得往外溢,C
256,以下哪句话中“头顶”的意思(或用法)与其他句子不同。,细雨，轻轻地泼打着我的脸。一阵凉风吹来，头顶上的树叶发出沙沙的响声，夜间的田野里也时不时地奏起了交响曲…,太阳露出了头顶，火红火红的，像半个烧红的铁球，又像半个熟透了的橙子，于是地上的小草被太阳照耀着，上面的露珠放射出璀璨的光环，耀眼夺目，红的绿的紫的…,空中不一片云，不一点风，头顶上一轮烈日，所有的树木都没精打采地、勤洋洋地站在那里,空中没有一片云，没有一点风，头顶上一轮烈日，所有的树木都没精打采地、懒洋洋地站在那里,B
257,以下哪句话中“一定”的意思(或用法)与其他句子不同。,沈默但目光专注地看你说话的男人，一定内心丰富，这一刻的男人，因爲他身上似乎有一种至命的磁场，让你觉得他酷极了,读书，我们不仅能够掌握一定的专业技能，更重要的是，能够解决自己面临的各种各样的人生问题。人终其一生，无非就是在不断探知自己的人生到底应当有什么样的意义而已,好好对自己，一辈子没多长；好好对别人，下辈子不一定能遇上,当一个人无话可说时，一定说得十分拙劣。伏尔,B
258,以下哪句话中“定向”的意思(或用法)与其他句子不同。,幸福并不取决于财产。幸福只是定向问题。这就是说，幸福者看不见现实的黑暗边缘,落红是孤独的，它随着风儿飘落，没有定向……没有了昔日的火红与艳丽，没有了昔日的高贵与典雅，告别了昔日的喧闹，变得孤独了,在多数人脑海中会出现这样的定向思维：明星一定是要妇孺皆知，众人追捧的,定向台（装有特种接收设备，能测定被测电台电波发射方向的无线电台）。,D
259,以下哪句话中“决定”的意思(或用法)与其他句子不同。,当你作出决定后，便要一心一意地朝着目标走，常常记着名誉是你的最大资产，今天便要建立起来,做决定之前仔细考虑，一旦作了决定就要勇往直前、坚持到底,一旦做出决定就不要拖延。任何事情想到就去做！立即行动,""",成功不是将来才有的，而是从决定去做的那一刻，累积而成""",D
260,以下哪句话中“运动”的意思(或用法)与其他句子不同。,奥运赛场上，运动员们奉献的是超越自我的勇气，奉献的是舍我其谁的精神，奉献的是对祖国养育之恩的回报,汗水，泪水；笑声，歌声；我们尽情挥洒。开幕式上，运动场上，我们尽情展现，多少艰辛，多少困苦，我们勇敢承担。因为年轻，因为张扬，因为我们知道：用今天的汗水换来明天的微笑,散步促进我的思想。我的身体必须不断运动，脑筋才会开动起来。卢,时间就是定格在照片上的图像，因为唯一；时间就是逝去的河水，因为不能停留在原地；时间就是春夏秋冬的更替，因为运动不息,D
261,以下哪句话中“松动”的意思(或用法)与其他句子不同。,把所有松动的钉子都钉进去，使地板平滑,经过大地震，山上土石严重松动，情况岌岌可危,"这是三楼东北角上的一个前厅,宽敞幽雅,显得比楼下的客厅还要松动。",他将他的坚挺插入她的惊讶里。板结的土地开始松动，崩裂，再一点点变得湿润、柔软起来。泥土贪婪地包裹住那棵探进来的植物，植物得到鼓励，迅速长出根须，它所触碰到的每一颗沙砾都颤抖起来,C
262,以下哪句话中“大队”的意思(或用法)与其他句子不同。,特种大队的伙食标准，都赶上军犬了,梅山大队食堂党支部*记带了三百多个居民，到离城十五里路的尤坑安营扎寨,"""巡警大队经过明察暗访,终于了结了这个案子""",而内湖分局分局长也有３件２７００元，世林、大同、文山二分局、以及保安大队的大队长也有１到２件。,B
263,以下哪句话中“面对”的意思(或用法)与其他句子不同。,面对烦恼和忧愁，一笑而过是一种释然，然后努力化解，这是一种境界,因为有了善意的谎言，临危的病人才不会有面对死亡时的局促不安；因为有了善意的谎言，从小便激发了我探索月宫秘密的兴趣；因为有了善意的谎言，孩子们才会在圣诞节里天真地等待圣诞老人的到来,在面对生活中的挑战时，要有坚定的信心，持之以恒的精神，用不懈的努力，来克服眼前的困难，把绊脚石，化为走向成功脚下的一块垫脚石,面对抉择，目光要长远。只有目标正确，结果才会圆满,C
264,以下哪句话中“多少”的意思(或用法)与其他句子不同。,姐妹儿就是那个跟你认识了连你自己都记不清多少年的人，偶尔的闲聊提起初次见面的不顺眼，才反应过来彼此刚见面时原来看对方都不顺眼，才知道已经认识好久好久的我们开始一起苍老了,一个人的胸怀能容下多少人，才能赢得多少人,生命价值不在于获取多少，生命价值在于付出多少,每件事情都必须有一个期限，否则，大多数人都会有多少时间就花掉多少时间,D
265,以下哪句话中“好多”的意思(或用法)与其他句子不同。,涂中，我看见旁边好多路人都在围着一个乞丐，我急忙叫妈妈停车，并把目光转移到了那个乞丐身上。这个乞丐很可怜，他的左腿是瘸的，走起路来一瘸一拐，必须在人的搀扶下才可以行走，我便对他产生了同情之心,哇！好多泡泡都围在我身边，有大有小有圆有扁有单个的有成串的……那些泡泡有的飞得高，有的飞得低，飞得高的好像要和白云姐姐说话，飞得低的好像要和大地妈妈玩耍,公园里有好多植物呀！甚至比一个植物园里的植物还多。小草绿油油的，缤纷的花朵星星点点的点缀着毛茸茸的绿草毯，高大的树木挺立在绿草红花的旁边，像是一个哨兵一样，守护着那些可爱的花草精灵们,她跟好多邀她跳舞的人跳了舞,D
